localizacao,genero,data
"Rhône-Alpes, France",Female,**/**/2006
"Västmanland, Sweden",Female,**/11/1998
"Île-de-France, France",Female,**/**/2000
"Setúbal, Portugal",Female,**/**/2006
"Porto, Portugal",Female,**/10/1990
"Santarém, Portugal",Female,**/10/1991
"Metz, Lorraine, France",Male,**/09/2005
"Lisboa, Portugal",Male,**/**/2008
"Francisco Villa, Coahuila De Zaragoza, Mexico",Male,**/04/1999
"Saskatchewan, Canada",Female,**/10/1986
"Setúbal, Portugal",Male,**/01/1994
"Setúbal, Portugal",Male,**/**/1983
"Poitou-Charentes, France",Male,**/09/1999
"Jalisco, Mexico",Female,**/11/1985
"Lorraine, France",Male,**/07/1996
"Texas, United States",Male,**/**/2008
"Jönköping, Sweden",Female,**/**/1997
"North Carolina, United States",Female,**/07/1993
"Rhône-Alpes, France",Female,**/**/1992
"Eskilstuna, Södermanland, Sweden",Male,**/**/2009
United Kingdom,Female,**/**/****
"Rhône-Alpes, France",Male,**/**/1999
"England, United Kingdom",Male,**/**/1983
"Florida, United States",Female,**/**/1996
"Lisboa, Portugal",Female,**/**/2009
"Faro, Portugal",Female,**/06/2009
"Île-de-France, France",Female,**/**/1984
"Île-de-France, France",Male,**/05/2003
France,Female,**/**/1995
"Stockholm, Stockholm, Sweden",Female,**/**/1983
"Lisboa, Portugal",Male,**/**/1985
Mexico,Female,**/02/1996
"Braga, Portugal",Female,**/03/1986
"San Francisco, California, United States",Male,**/**/2009
"Michoacan De Ocampo, Mexico",Female,**/10/1994
"Jalisco, Mexico",Male,**/**/2006
"Stockholm, Stockholm, Sweden",Female,**/**/1982
France,Female,**/**/1991
"Coahuila De Zaragoza, Mexico",Male,**/**/1983
"Poitou-Charentes, France",Male,**/07/1985
"San Antonio, Nuevo Leon, Mexico",Female,**/04/1995
"Tamaulipas, Mexico",Female,**/**/2008
"Beja, Portugal",Female,**/**/2009
"Québec, Canada",Male,**/**/1982
"Alberta, Canada",Female,**/07/2000
"Stockholm, Stockholm, Sweden",Female,**/**/1982
United States,Female,**/**/2003
"Beja, Portugal",Male,**/**/1994
"Santarém, Portugal",Male,**/**/2010
United States,Male,**/**/1996
"California, United States",Male,**/09/1993
"Île-de-France, France",Female,**/08/1989
"Île-de-France, France",Male,**/**/1989
"Stockholm, Sweden",Female,**/05/2008
"Île-de-France, France",Male,**/**/1983
"England, United Kingdom",Female,**/01/1983
"Québec, Canada",Male,**/**/1984
Sweden,Male,**/02/1991
"British Columbia, Canada",Male,**/**/1997
"Tamaulipas, Mexico",Female,**/03/1998
"Picardie, France",Male,**/**/2009
"Skåne, Sweden",Male,**/03/1986
"Florida, United States",Female,**/**/1988
"Göteborg, Västra Götaland, Sweden",Male,**/**/1993
"Uppsala, Sweden",Male,**/12/1982
"Porto, Portugal",Female,**/09/1982
United States,Female,**/**/1997
"British Columbia, Canada",Female,**/02/1997
"San Antonio, Tamaulipas, Mexico",Male,**/**/2002
"Jalisco, Mexico",Female,**/**/2004
"Provence-Alpes-Côte d'Azur, France",Male,**/**/1987
"Cergy-Pontoise, Île-de-France, France",Female,**/11/1981
"Porto, Portugal",Female,**/03/2004
"Coimbra, Portugal",Male,**/**/2003
"Viseu, Portugal",Male,**/**/1999
"Västra Götaland, Sweden",Male,**/**/2001
"Centre, France",Male,**/01/1988
"Braga, Portugal",Male,**/**/1996
"Stockholm, Sweden",Male,**/**/1995
"Stockholm, Sweden",Female,**/**/2007
"Orléans, Centre, France",Male,**/**/1983
"Poitou-Charentes, France",Male,**/02/1989
"Braga, Portugal",Female,**/**/1982
"Porto, Portugal",Female,**/01/1981
"Île-de-France, France",Female,**/04/2001
"Västra Götaland, Sweden",Male,**/**/1991
"Braga, Portugal",Male,**/09/1992
"Braga, Portugal",Male,**/08/1994
"Michigan, United States",Male,**/11/2006
"Besançon, Franche-Comté, France",Male,**/**/1989
"Alabama, United States",Female,**/10/2003
Sweden,Female,**/08/1988
"Basse-Normandie, France",Female,**/**/1983
"Florida, United States",Male,**/**/1998
"Texas, United States",Male,**/10/1990
"Missouri, United States",Male,**/02/1997
"Coimbra, Portugal",Male,**/11/1987
"Porto, Portugal",Female,**/05/1985
"Lisboa, Portugal",Female,**/06/1985
"Île-de-France, France",Female,**/**/2006
"Örebro, Sweden",Female,**/**/1996
"Stockholm, Sweden",Female,**/11/1984
"Västra Götaland, Sweden",Female,**/**/1990
"Västra Götaland, Sweden",Male,**/01/1987
"Södermanland, Sweden",Female,**/08/1982
"Porto, Portugal",Female,**/**/2010
United States,Male,**/11/1984
"Rhône-Alpes, France",Female,**/11/2005
"Aveiro, Portugal",Female,**/**/1988
"North Carolina, United States",Male,**/**/1986
"Lisboa, Portugal",Male,**/06/1996
"Lyon, Rhône-Alpes, France",Female,**/09/1982
"Florida, United States",Female,**/03/2002
"Metz, Lorraine, France",Female,**/**/2004
"San Antonio, Mexico, Mexico",Male,**/**/****
"Aveiro, Portugal",Male,**/**/1982
"Basse-Normandie, France",Male,**/11/2000
"Stockholm, Sweden",Male,**/**/2005
"Viana do Castelo, Portugal",Female,**/**/2000
"Braga, Portugal",Female,**/**/1991
"British Columbia, Canada",Male,**/**/2010
"Viseu, Portugal",Male,**/06/1999
Sweden,Male,**/11/1980
"Viana do Castelo, Portugal",Male,**/**/2007
"Florida, United States",Male,**/06/1991
"Lisboa, Portugal",Male,**/04/2001
"Michigan, United States",Male,**/**/2002
"Franche-Comté, France",Male,**/09/1989
"Île-de-France, France",Female,**/12/1986
"Kentucky, United States",Female,**/**/1988
"Centre, France",Female,**/08/2005
"Porto, Portugal",Male,**/11/2006
"New Brunswick, Canada",Male,**/10/1986
"Bragança, Portugal",Male,**/**/1994
"Île-de-France, France",Female,**/**/1987
"England, United Kingdom",Female,**/02/1981
"Skåne, Sweden",Female,**/03/2004
"Stockholm, Sweden",Male,**/**/1985
"Québec, Canada",Male,**/02/2002
"Guerrero, Mexico",Female,**/**/1990
"Halland, Sweden",Male,**/**/2009
"Tamaulipas, Mexico",Male,**/**/2000
"Setúbal, Portugal",Male,**/03/2003
"California, United States",Male,**/01/1988
"Porto, Portugal",Male,**/06/1999
"Santarém, Portugal",Male,**/**/2009
"Vila Real, Portugal",Male,**/**/1990
"Mexico, Mexico",Female,**/02/1989
"New York, United States",Male,**/11/1985
"Bretagne, France",Female,**/**/2002
"Värmland, Sweden",Male,**/**/2005
"Nice, Provence-Alpes-Côte d'Azur, France",Female,**/03/2003
United States,Female,**/03/2008
"Västra Götaland, Sweden",Female,**/07/2004
"Leiria, Portugal",Male,**/**/2004
"Lindavista, Veracruz Llave, Mexico",Female,**/08/2008
"Languedoc-Roussillon, France",Female,**/11/1980
"Bourgogne, France",Male,**/07/2001
"Bretagne, France",Male,**/10/1989
"Stockholm, Sweden",Female,**/**/2003
"Québec, Canada",Female,**/**/1997
"Michigan, United States",Male,**/09/1982
"Viana do Castelo, Portugal",Female,**/11/1998
"Pennsylvania, United States",Male,**/**/1991
"Québec, Canada",Female,**/06/2005
"Stockholm, Sweden",Female,**/**/1986
"Skåne, Sweden",Male,**/07/1981
"Braga, Portugal",Male,**/05/1994
"Florida, United States",Female,**/07/2007
"Rhône-Alpes, France",Female,**/**/1992
"Braga, Portugal",Male,**/**/1982
"Alberta, Canada",Male,**/**/2010
"Stockholm, Stockholm, Sweden",Female,**/**/1991
"Örebro, Sweden",Female,**/11/1981
"Setúbal, Portugal",Female,**/05/1998
"Västra Götaland, Sweden",Male,**/**/1990
"Göteborg, Västra Götaland, Sweden",Female,**/**/2005
"New Brunswick, Canada",Female,**/09/1992
"Viana do Castelo, Portugal",Female,**/**/1994
United States,Female,**/01/1983
"Kalmar, Sweden",Female,**/10/1989
"Connecticut, United States",Female,**/06/1996
"Halland, Sweden",Female,**/**/1982
"England, United Kingdom",Male,**/11/1984
"Texas, United States",Male,**/06/1991
"Provence-Alpes-Côte d'Azur, France",Female,**/10/1989
"Stockholm, Stockholm, Sweden",Female,**/05/1998
"Lisboa, Portugal",Female,**/05/1983
"Stockholm, Stockholm, Sweden",Female,**/**/1997
"Jönköping, Sweden",Female,**/03/2010
"Stockholm, Stockholm, Sweden",Male,**/11/2007
"Västra Götaland, Sweden",Female,**/12/1984
"Texas, United States",Male,**/**/1993
"Kalmar, Sweden",Male,**/03/1982
"Florida, United States",Female,**/05/2005
"Île-de-France, France",Female,**/04/2000
"Porto, Portugal",Female,**/11/1985
"Veracruz Llave, Mexico",Male,**/04/1995
"Alberta, Canada",Male,**/05/2005
"Alberta, Canada",Female,**/**/1986
"Lorraine, France",Female,**/**/1998
"Braga, Portugal",Female,**/**/1993
"Stockholm, Sweden",Female,**/01/1983
"Alsace, France",Female,**/06/2010
"Leiria, Portugal",Female,**/**/1988
"Picardie, France",Female,**/08/2006
"Porto, Portugal",Female,**/06/2002
"Île-de-France, France",Male,**/05/1985
"Île-de-France, France",Female,**/08/2005
"California, United States",Female,**/**/1982
"England, United Kingdom",Male,**/09/2003
"Coimbra, Portugal",Female,**/**/1985
United States,Female,**/08/1999
"Lisboa, Portugal",Male,**/08/2003
"Bretagne, France",Male,**/**/1989
"Île-de-France, France",Male,**/02/2010
"Leiria, Portugal",Female,**/05/1983
"Nice, Provence-Alpes-Côte d'Azur, France",Male,**/07/1996
"Québec, Canada",Male,**/06/2010
"England, United Kingdom",Female,**/**/1997
"Beja, Portugal",Male,**/**/1988
"California, United States",Male,**/**/1990
"Porto, Portugal",Male,**/02/1997
"Québec, Canada",Female,**/03/1982
"Mexico, Mexico",Male,**/03/2008
"Braga, Portugal",Male,**/**/1988
"Cergy-Pontoise, Île-de-France, France",Female,**/**/1986
"Östergötland, Sweden",Male,**/**/1992
"Guadalupe, Campeche, Mexico",Male,**/**/2003
"Halland, Sweden",Female,**/**/1993
"Kentucky, United States",Male,**/**/1987
"Setúbal, Portugal",Female,**/**/2005
"Saskatchewan, Canada",Female,**/06/2004
"Braga, Portugal",Female,**/**/1990
Sweden,Female,**/**/2006
"Cergy-Pontoise, Île-de-France, France",Male,**/09/1993
"Setúbal, Portugal",Female,**/01/1988
"Newfoundland and Labrador, Canada",Female,**/10/1981
United States,Male,**/**/1985
"Florida, United States",Female,**/09/1992
"Rhône-Alpes, France",Female,**/06/2005
"Viana do Castelo, Portugal",Female,**/03/1982
"Saskatchewan, Canada",Female,**/**/1987
United States,Female,**/11/2009
"Stockholm, Sweden",Male,**/11/2004
"Aquitaine, France",Female,**/**/2007
"Guanajuato, Mexico",Female,**/**/2000
"Texas, United States",Male,**/06/2002
"Ontario, Canada",Male,**/**/1992
Mexico,Male,**/10/1986
"Île-de-France, France",Female,**/06/2002
"Virginia, United States",Female,**/08/2008
"Stockholm, Sweden",Male,**/**/1991
"Lisboa, Portugal",Male,**/**/1998
"Florida, United States",Female,**/10/2000
"Täby, Stockholm, Sweden",Female,**/06/1999
"Provence-Alpes-Côte d'Azur, France",Female,**/**/1984
"Québec, Canada",Female,**/**/1998
"Eskilstuna, Södermanland, Sweden",Female,**/**/1997
"Dalarna, Sweden",Male,**/**/2005
"Skåne, Sweden",Female,**/**/1994
"Alberta, Canada",Female,**/02/1996
"Ohio, United States",Male,**/06/1996
"Ilha de São Miguel, Portugal",Female,**/06/2009
"Québec, Canada",Male,**/10/1986
"New Brunswick, Canada",Female,**/**/2006
"Florida, United States",Female,**/10/2003
"Igreja, Vila Real, Portugal",Male,**/08/2003
"Alberta, Canada",Male,**/**/2008
"Marseille, Provence-Alpes-Côte d'Azur, France",Female,**/05/1994
"Île-de-France, France",Male,**/**/1995
"Porto, Portugal",Female,**/11/2000
"Västra Götaland, Sweden",Male,**/10/1991
"Porto, Portugal",Female,**/**/1984
"Coimbra, Portugal",Female,**/06/1991
"Castelo Branco, Portugal",Female,**/**/1998
United States,Female,**/08/2006
"Aquitaine, France",Female,**/01/1988
United States,Male,**/12/1982
"Västra Götaland, Sweden",Female,**/**/2000
"Braga, Portugal",Female,**/11/1998
"Connecticut, United States",Male,**/12/1990
United States,Male,**/11/2005
"Besançon, Franche-Comté, France",Male,**/**/1983
"Poitou-Charentes, France",Female,**/11/1985
"Connecticut, United States",Male,**/**/1982
"Aquitaine, France",Female,**/03/1995
"California, United States",Male,**/05/1995
"Ontario, Canada",Male,**/**/1992
United States,Female,**/11/2000
France,Female,**/**/2010
"Kentucky, United States",Male,**/07/2007
"Languedoc-Roussillon, France",Female,**/06/1996
"Lyon, Rhône-Alpes, France",Female,**/07/2004
"Île-de-France, France",Female,**/**/1987
"Lisboa, Portugal",Female,**/11/2005
"Bragança, Portugal",Male,**/**/1986
"England, United Kingdom",Male,**/12/1982
"Halland, Sweden",Male,**/**/1999
"Île-de-France, France",Male,**/05/1983
"Braga, Portugal",Male,**/**/1984
"Virginia, United States",Male,**/**/2010
"Bourgogne, France",Female,**/**/2002
"Emiliano Zapata, Veracruz Llave, Mexico",Male,**/11/2009
United States,Female,**/11/2006
"Lisboa, Portugal",Female,**/04/2000
"Île-de-France, France",Female,**/**/2006
"Île-de-France, France",Female,**/10/1993
"Norrbotten, Sweden",Female,**/**/1983
"Île-de-France, France",Female,**/**/1988
"Virginia, United States",Male,**/**/1987
"Aquitaine, France",Male,**/**/2004
France,Female,**/11/1998
"Texas, United States",Male,**/**/2006
"Île-de-France, France",Male,**/05/1985
"Alsace, France",Male,**/02/1981
"Guerrero, Mexico",Female,**/**/1996
"Setúbal, Portugal",Female,**/01/1998
"Västerbotten, Sweden",Male,**/08/1989
"Skåne, Sweden",Female,**/**/2002
"Limousin, France",Male,**/**/1985
"Île-de-France, France",Female,**/**/2007
"Aveiro, Portugal",Male,**/**/2006
"Alabama, United States",Female,**/01/2007
"Santarém, Portugal",Female,**/**/1992
"Coimbra, Portugal",Female,**/**/1981
"Setúbal, Portugal",Male,**/06/1984
"Orléans, Centre, France",Male,**/**/1996
"Aveiro, Portugal",Male,**/**/2008
"Santarém, Portugal",Female,**/**/1985
"Viseu, Portugal",Female,**/04/1999
"Pays de la Loire, France",Male,**/03/1994
Mexico,Female,**/06/2004
"Braga, Portugal",Female,**/**/2008
"Texas, United States",Female,**/05/1999
"Örebro, Sweden",Female,**/10/1985
"Jönköping, Sweden",Male,**/**/1994
"San Francisco, California, United States",Female,**/**/1999
United States,Female,**/**/1997
"Rhône-Alpes, France",Female,**/**/1996
"Centre, France",Male,**/04/1981
"Västra Götaland, Sweden",Female,**/01/1987
"Provence-Alpes-Côte d'Azur, France",Male,**/10/1989
"Ontario, Canada",Female,**/09/1999
"Vila Real, Portugal",Male,**/02/1991
"Saskatchewan, Canada",Female,**/11/1995
Portugal,Female,**/**/1988
"Île-de-France, France",Male,**/10/1990
"Bretagne, France",Male,**/**/1996
"Lindavista, Guanajuato, Mexico",Female,**/11/2006
